angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4
29.7	73	29.7	74	29.7	73	29.7	85
29.8	76	29.8	75	29.8	64	29.8	79
29.9	77	29.9	71	29.9	84	29.9	89
30	67	30	77	30	83	30	73
30.1	92	30.1	90	30.1	78	30.1	74
30.2	73	30.2	48	30.2	68	30.2	73
30.3	75	30.3	71	30.3	73	30.3	69
30.4	73	30.4	56	30.4	75	30.4	66
30.5	83	30.5	65	30.5	66	30.5	62
30.6	72	30.6	82	30.6	72	30.6	82
30.7	70	30.7	84	30.7	67	30.7	66
30.8	93	30.8	70	30.8	76	30.8	75
30.9	86	30.9	76	30.9	69	30.9	63
31	79	31	69	31	76	31	66
31.1	61	31.1	64	31.1	78	31.1	83
31.2	75	31.2	85	31.2	81	31.2	82
31.3	67	31.3	65	31.3	64	31.3	50
31.4	85	31.4	67	31.4	67	31.4	72
31.5	78	31.5	57	31.5	81	31.5	67
31.6	77	31.6	71	31.6	63	31.6	83
31.7	76	31.7	63	31.7	77	31.7	86
31.8	86	31.8	81	31.8	65	31.8	65
31.9	74	31.9	77	31.9	65	31.9	63
32	74	32	66	32	71	32	66
32.1	77	32.1	71	32.1	74	32.1	93
32.2	72	32.2	82	32.2	85	32.2	74
32.3	65	32.3	63	32.3	76	32.3	66
32.4	78	32.4	76	32.4	68	32.4	62
32.5	75	32.5	77	32.5	75	32.5	55
32.6	80	32.6	76	32.6	84	32.6	62
32.7	68	32.7	65	32.7	91	32.7	73
32.8	66	32.8	67	32.8	104	32.8	87
32.9	72	32.9	77	32.9	71	32.9	78
33	61	33	70	33	67	33	76
33.1	81	33.1	70	33.1	86	33.1	79
33.2	84	33.2	63	33.2	83	33.2	65
33.3	93	33.3	75	33.3	62	33.3	71
33.4	73	33.4	56	33.4	79	33.4	64
33.5	64	33.5	71	33.5	79	33.5	79
33.6	69	33.6	89	33.6	62	33.6	88
33.7	83	33.7	67	33.7	86	33.7	62
33.8	71	33.8	77	33.8	80	33.8	79
33.9	75	33.9	82	33.9	68	33.9	60
34	57	34	88	34	68	34	78
34.1	86	34.1	77	34.1	76	34.1	68
34.2	90	34.2	73	34.2	77	34.2	73
34.3	90	34.3	67	34.3	99	34.3	80
34.4	84	34.4	67	34.4	85	34.4	67
34.5	82	34.5	93	34.5	93	34.5	69
34.6	83	34.6	78	34.6	77	34.6	75
34.7	78	34.7	69	34.7	73	34.7	71
34.8	89	34.8	64	34.8	83	34.8	52
34.9	83	34.9	76	34.9	80	34.9	78
35	88	35	71	35	77	35	68
