angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4
24.6	58	24.6	62	24.6	54	24.6	63
24.7	52	24.7	55	24.7	47	24.7	78
24.8	34	24.8	31	24.8	20	24.8	58
24.9	18	24.9	24	24.9	27	24.9	52
25	26	25	26	25	38	25	35
25.1	23	25.1	28	25.1	29	25.1	36
25.2	31	25.2	28	25.2	31	25.2	23
25.3	27	25.3	20	25.3	29	25.3	33
25.4	39	25.4	30	25.4	22	25.4	41
25.5	26	25.5	27	25.5	28	25.5	25
25.6	32	25.6	14	25.6	14	25.6	33
25.7	34	25.7	39	25.7	27	25.7	33
25.8	29	25.8	19	25.8	30	25.8	31
25.9	29	25.9	22	25.9	20	25.9	33
26	25	26	30	26	30	26	30
26.1	27	26.1	26	26.1	23	26.1	27
26.2	30	26.2	33	26.2	18	26.2	28
26.3	26	26.3	16	26.3	26	26.3	24
26.4	28	26.4	16	26.4	26	26.4	33
26.5	20	26.5	27	26.5	24	26.5	23
26.6	27	26.6	27	26.6	27	26.6	30
26.7	32	26.7	26	26.7	26	26.7	25
26.8	23	26.8	20	26.8	33	26.8	31
26.9	17	26.9	25	26.9	21	26.9	20
27	30	27	24	27	16	27	26
27.1	28	27.1	26	27.1	19	27.1	34
27.2	26	27.2	20	27.2	17	27.2	25
27.3	35	27.3	27	27.3	31	27.3	22
27.4	29	27.4	23	27.4	28	27.4	34
27.5	32	27.5	37	27.5	26	27.5	36
27.6	45	27.6	30	27.6	29	27.6	38
27.7	95	27.7	44	27.7	68	27.7	75
27.8	143	27.8	92	27.8	84	27.8	126
27.9	99	27.9	113	27.9	123	27.9	143
28	59	28	66	28	81	28	118
28.1	39	28.1	52	28.1	36	28.1	82
28.2	39	28.2	24	28.2	29	28.2	55
28.3	16	28.3	23	28.3	27	28.3	25
28.4	27	28.4	28	28.4	20	28.4	22
28.5	21	28.5	15	28.5	11	28.5	21
28.6	14	28.6	19	28.6	17	28.6	22
28.7	24	28.7	25	28.7	23	28.7	24
28.8	25	28.8	20	28.8	23	28.8	24
28.9	24	28.9	14	28.9	28	28.9	22
29	22	29	22	29	17	29	27
