angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4	angle5	rate5
20.6	365	20.6	419	20.6	663	20.6	674	20.6	603
20.7	587	20.7	636	20.7	423	20.7	602	20.7	518
20.8	714	20.8	557	20.8	214	20.8	349	20.8	291
20.9	499	20.9	340	20.9	134	20.9	180	20.9	152
21	249	21	156	21	103	21	99	21	88
21.1	107	21.1	108	21.1	95	21.1	92	21.1	86
21.2	89	21.2	84	21.2	97	21.2	83	21.2	89
21.3	87	21.3	89	21.3	92	21.3	77	21.3	66
21.4	78	21.4	87	21.4	91	21.4	86	21.4	68
21.5	81	21.5	81	21.5	79	21.5	103	21.5	73
21.6	90	21.6	78	21.6	103	21.6	86	21.6	73
21.7	82	21.7	91	21.7	101	21.7	77	21.7	93
21.8	75	21.8	77	21.8	69	21.8	79	21.8	85
21.9	74	21.9	96	21.9	80	21.9	79	21.9	89
22	69	22	73	22	77	22	72	22	65
22.1	68	22.1	64	22.1	66	22.1	77	22.1	76
22.2	78	22.2	71	22.2	92	22.2	85	22.2	67
22.3	95	22.3	88	22.3	73	22.3	83	22.3	84
22.4	81	22.4	84	22.4	88	22.4	89	22.4	61
22.5	72	22.5	63	22.5	71	22.5	73	22.5	63
22.6	69	22.6	78	22.6	65	22.6	68	22.6	76
22.7	73	22.7	65	22.7	90	22.7	67	22.7	67
22.8	63	22.8	82	22.8	80	22.8	83	22.8	82
22.9	67	22.9	64	22.9	67	22.9	76	22.9	59
23	61	23	59	23	54	23	78	23	63
23.1	65	23.1	64	23.1	86	23.1	62	23.1	76
23.2	68	23.2	67	23.2	90	23.2	67	23.2	62
23.3	75	23.3	71	23.3	63	23.3	73	23.3	68
23.4	62	23.4	62	23.4	57	23.4	67	23.4	67
23.5	80	23.5	52	23.5	63	23.5	61	23.5	59
23.6	67	23.6	76	23.6	73	23.6	80	23.6	59
23.7	74	23.7	58	23.7	77	23.7	53	23.7	72
23.8	55	23.8	44	23.8	65	23.8	68	23.8	67
23.9	75	23.9	60	23.9	62	23.9	57	23.9	66
24	74	24	68	24	64	24	71	24	57
24.1	66	24.1	64	24.1	60	24.1	70	24.1	54
24.2	49	24.2	47	24.2	58	24.2	65	24.2	62
24.3	53	24.3	54	24.3	71	24.3	72	24.3	67
24.4	77	24.4	56	24.4	60	24.4	76	24.4	67
24.5	59	24.5	56	24.5	56	24.5	65	24.5	61
24.6	66	24.6	66	24.6	60	24.6	50	24.6	52
24.7	54	24.7	68	24.7	76	24.7	59	24.7	66
24.8	62	24.8	65	24.8	62	24.8	50	24.8	64
24.9	53	24.9	56	24.9	60	24.9	55	24.9	56
25	56	25	60	25	77	25	52	25	70
25.1	66	25.1	61	25.1	64	25.1	54	25.1	58
25.2	46	25.2	56	25.2	55	25.2	65	25.2	60
25.3	72	25.3	56	25.3	44	25.3	58	25.3	46
25.4	64	25.4	60	25.4	59	25.4	59	25.4	69
25.5	56	25.5	50	25.5	70	25.5	55	25.5	64
25.6	49	25.6	36	25.6	44	25.6	64	25.6	51
25.7	45	25.7	43	25.7	70	25.7	54	25.7	52
25.8	60	25.8	43	25.8	75	25.8	63	25.8	51
25.9	52	25.9	54	25.9	57	25.9	45	25.9	66
26	59	26	57	26	56	26	52	26	55
26.1	60	26.1	45	26.1	56	26.1	56	26.1	50
26.2	49	26.2	53	26.2	63	26.2	40	26.2	42
26.3	54	26.3	46	26.3	55	26.3	54	26.3	52
26.4	47	26.4	43	26.4	54	26.4	51	26.4	57
26.5	38	26.5	56	26.5	62	26.5	48	26.5	52
26.6	44	26.6	45	26.6	57	26.6	57	26.6	47
26.7	40	26.7	37	26.7	58	26.7	49	26.7	47
26.8	46	26.8	45	26.8	53	26.8	57	26.8	52
26.9	46	26.9	40	26.9	38	26.9	54	26.9	47
27	47	27	49	27	53	27	63	27	47
27.1	45	27.1	54	27.1	47	27.1	52	27.1	43
27.2	43	27.2	41	27.2	56	27.2	48	27.2	37
27.3	43	27.3	39	27.3	63	27.3	63	27.3	49
27.4	39	27.4	47	27.4	58	27.4	64	27.4	62
27.5	48	27.5	43	27.5	62	27.5	46	27.5	57
27.6	48	27.6	48	27.6	60	27.6	66	27.6	69
27.7	49	27.7	43	27.7	57	27.7	54	27.7	70
27.8	54	27.8	41	27.8	63	27.8	57	27.8	48
27.9	47	27.9	45	27.9	85	27.9	61	27.9	60
28	61	28	57	28	78	28	86	28	81
28.1	65	28.1	59	28.1	66	28.1	83	28.1	70
28.2	76	28.2	71	28.2	43	28.2	61	28.2	48
28.3	54	28.3	46	28.3	44	28.3	62	28.3	44
28.4	36	28.4	45	28.4	45	28.4	47	28.4	47
28.5	44	28.5	43	28.5	43	28.5	38	28.5	55
28.6	43	28.6	37	28.6	42	28.6	56	28.6	43
28.7	39	28.7	51	28.7	49	28.7	43	28.7	49
28.8	41	28.8	44	28.8	40	28.8	42	28.8	44
28.9	40	28.9	42	28.9	33	28.9	40	28.9	45
29	36	29	30	29	46	29	57	29	34
29.1	40	29.1	49	29.1	62	29.1	41	29.1	48
29.2	40	29.2	40	29.2	36	29.2	51	29.2	49
29.3	43	29.3	36	29.3	42	29.3	42	29.3	38
29.4	47	29.4	39	29.4	45	29.4	32	29.4	45
29.5	29	29.5	38	29.5	61	29.5	44	29.5	39
29.6	45	29.6	30	29.6	34	29.6	35	29.6	45
29.7	45	29.7	46	29.7	47	29.7	39	29.7	54
29.8	37	29.8	36	29.8	45	29.8	50	29.8	55
29.9	34	29.9	40	29.9	41	29.9	38	29.9	37
30	34	30	29	30	57	30	39	30	47
30.1	39	30.1	41	30.1	46	30.1	46	30.1	44
30.2	29	30.2	40	30.2	40	30.2	53	30.2	36
30.3	42	30.3	35	30.3	56	30.3	39	30.3	41
30.4	47	30.4	41	30.4	45	30.4	36	30.4	40
30.5	29	30.5	36	30.5	45	30.5	43	30.5	43
30.6	40	30.6	38	30.6	56	30.6	46	30.6	38
30.7	35	30.7	36	30.7	40	30.7	39	30.7	47
30.8	35	30.8	45	30.8	46	30.8	37	30.8	38
30.9	38	30.9	38	30.9	43	30.9	42	30.9	41
31	33	31	46	31	37	31	51	31	57
31.1	36	31.1	34	31.1	41	31.1	38	31.1	36
31.2	29	31.2	39	31.2	61	31.2	36	31.2	39
31.3	37	31.3	42	31.3	45	31.3	37	31.3	31
31.4	38	31.4	44	31.4	51	31.4	53	31.4	38
31.5	36	31.5	61	31.5	78	31.5	51	31.5	62
31.6	30	31.6	38	31.6	117	31.6	81	31.6	77
31.7	50	31.7	51	31.7	170	31.7	130	31.7	113
31.8	72	31.8	71	31.8	157	31.8	149	31.8	157
31.9	116	31.9	108	31.9	138	31.9	162	31.9	132
32	115	32	104	32	91	32	113	32	86
32.1	101	32.1	97	32.1	73	32.1	83	32.1	67
32.2	84	32.2	62	32.2	36	32.2	38	32.2	53
32.3	68	32.3	50	32.3	39	32.3	39	32.3	39
32.4	37	32.4	28	32.4	44	32.4	40	32.4	41
32.5	36	32.5	35	32.5	24	32.5	35	32.5	35
32.6	45	32.6	33	32.6	37	32.6	37	32.6	36
32.7	45	32.7	23	32.7	27	32.7	37	32.7	41
32.8	34	32.8	41	32.8	34	32.8	31	32.8	43
32.9	32	32.9	31	32.9	39	32.9	31	32.9	31
33	41	33	36	33	32	33	36	33	38
33.1	38	33.1	37	33.1	36	33.1	38	33.1	36
33.2	38	33.2	32	33.2	28	33.2	31	33.2	32
33.3	37	33.3	48	33.3	29	33.3	45	33.3	32
33.4	37	33.4	30	33.4	41	33.4	46	33.4	44
33.5	27	33.5	34	33.5	36	33.5	31	33.5	53
33.6	38	33.6	34	33.6	34	33.6	23	33.6	30
33.7	31	33.7	31	33.7	43	33.7	34	33.7	36
33.8	32	33.8	24	33.8	42	33.8	42	33.8	31
33.9	38	33.9	36	33.9	39	33.9	37	33.9	25
34	37	34	33	34	37	34	32	34	25
34.1	23	34.1	23	34.1	38	34.1	22	34.1	36
34.2	32	34.2	29	34.2	33	34.2	36	34.2	37
34.3	37	34.3	33	34.3	42	34.3	38	34.3	37
34.4	31	34.4	30	34.4	32	34.4	31	34.4	34
34.5	32	34.5	40	34.5	32	34.5	39	34.5	21
34.6	26	34.6	27	34.6	35	34.6	31	34.6	45
34.7	36	34.7	25	34.7	31	34.7	35	34.7	28
34.8	32	34.8	32	34.8	34	34.8	40	34.8	32
34.9	24	34.9	22	34.9	35	34.9	27	34.9	38
35	23	35	24	35	42	35	49	35	49
